date,message
2022-11-20,накидать воспоминанание март-апрель мариуполь решить потихоньку переписывать перекраивать знать уместно ждать оценка раз. выбор переписывать постить оригинал рисовать витраж торчать разбитый окно кусок стекло дышать палец проводить линия неплавный какой-то угловатый теперешний жизнь свежий порез кровить оставлять мутно-бордовый пятно начало линия размазывать конец вода еда сила бороться страх куда-то пропасть внезапно смениться равнодушный отупение наверное умирать человек думать гляд сквозь осколок стекло осколок мир вокруг умирать равно лишь быстрый недавно разбитый мир жизнь неразбитый окно дом напротив гореть свет глубина комната стоять новогодний ёлка двигаться человеческий силуэт светиться телевизор шуметь проезжать мимо машина сосед пахнуть жареный картошка бабушка надя умереть 5го март дед дотащить порог далёкий смочь уйти квартира взять день подъезд прилететь бабушка похоронить викинг огонь подуматься как-то некстати зато запах собака сожрать странно работать мозг зачем-то думать тело бабушка надя огонь собака подумать раздобыть хотя-бы вода наотрез отказываться оказываться выкидыш удача полуторамесячный малыш рука истошно кричать требовать еда тепло обьяснить еда тепло остаться мир сломаться выдержать тротиловый эквивалент братский любовь дать бог начаться месячный умереть подумать некстати хотя бог судить поставить часть карта кружка кофе замечать вовсе очень трудно привыкнуть холод временной холод прийти домой отогреться холод постоянный самый подходящий слово `` пронизывать '' хотя сразу пронизывать кость холод просто высасывать тело жизнь убаюкивать отбирать желание двигаться превращать кусок равнодушный пока ещё живой человеческий мясо тело греться нужно жить холод народ питаться обильно высококалорийный жирно галета сладкий чаемый вчера хотя заканчиваться сегодня поесть что-то завтра перспектива никакой подъезд никто готовить костёр уйти туда тихий умереть больница работать апокалипсис откуда уйти сила что-то противопоставить коллапсируть мир вокруг коридорчик лежать человек гора окровавленный разрезать клок одежда гора буквально горы- потолок иной день коридор полуразрушить больница стоять лужа кровь мерзко хлюпать нога метаться персонал четыре серый усталость медсестричка больница доктор лужа никто обращать внимание остановиться сердце гонять кровь разорваться сосуд растерзать тело замереть навсегда кошмар закончить наверное быстрый смерть удача очень трудно привыкнуть разбитый мир очень трудно ступать сколка прежний жизнь очень трудно смотреть сквозь мутно-бордовый `` витраж '' вспоминать выходить подъезд красивый белый платье фат тёплый рука любимый стол ломиться еда голова план будущее хватать далі буде мабуть ще впевнять що змозить це перетравитя якося важко
2022-11-20,порох ещё воспоминалка настроение гостить сыночек матюшина- рыжий юный порох ааааа ватный палочка клёво хрясь грюк порох уноситься даль пучок палочка зуб -отдать скотина орать таня хрясь грюк ползать кровать отбирать добыча аааа зубочистка афигеть хрясь шмяк бамбук рассыпать кухонный пол твой мать традиционно орать таня падать пузо зубочистка спиздить заглотить хм фигас коврик радоваться порох запрыгивать сверху таня чисто поржать айайайать ведро мусор ништяк бдышать порох нырять ласточка ведро падать таня зубочистка снизу добавляться красивый натюрморт вокруг `` женщина объедок '' назвать подумать некогда бляаааа муха муха настоящий даааааать кот орать выпь хрясь бум бдышь- порох ловить муха -сейчас вылезти помойка капец котёнок думать таня муха садиться цветок таня понимать натюрморт женщина объедок добавиться чернозём немножко зелень глиняный горшок килограммовый таня начинать резко подниматься издавать мат могучий флюид близиться пиздюля порох запрыгивать подоконник складывать лапка рядышком делать морда `` сладкий котик '' сидеть олицетворять паинька таня закончить вынимать зубочистка складывать объедок ведро прийтись взять тапка идти мочить муха ибо простой убить скотина муха выдержать ещё охота общий бегать хата я. всклокочить недобрый объедок зубочистка тапка носиться любопытный порох сеять хаос мусор безудержный веселие стульчик аккуратно сидеть умный форест смотреть озадаченно думать похожий порох зеленский похожий голосовать ....
2022-11-20,фейсбук напомнить настроение утро например приличный девочка шантроп донецкий приличный матюкаицца никогда… ночью идти пописать тьма мизинчик нога угол еб….удариться общий стать медленно выпускать воздух сквозь сжатый зуб конструировать звук всякий неприличность мама угол именно её любить папа тихонько огорчиться « ой неприятно случиться » мочь вообще писать ночам… страшный дело- зависть… фуршет-банкет приличный девочка питаться еда человек очень опасно незнакомый кот купать… во-первых завидовать патамушт жрать собака сутулый диета красиво бывать ещё кафешка приличный девочка взять какой-то разноцветный силос капля орхидеевой масло слеза тибетский девственница время хищно смотреть кусок мясо твой тарелка слюна шелестеть во-вторых опасность заловить еда тарелка неположенный инструмент тащить тарелка вкусный еда первый попасться вилка рот предвкусительный приоткрыть глаз купа из-за спина сладенький фальцет дорогой экспрессивный пользоваться приборами…этый мило…в мариуполь наверное сидеть приоткрыть рот глаз купа думать примерно следующий « врубить снизу челюсть гарантированно избавить необходимость объяснять родный подворотня француз-гувернёр бухать чёрт разновидность вилка уточняли. » знать первый драка лезть- плохо уметь пищеварительный этикет- сидеть вилка стакан изучать 2 час следующий акция коллективный приём пища внутрь вместо нормальный еда вилка канапушечка изволить шпажка золотой люди… в-третьих обязательно одеться одежда присесть харчеваться что-то крупный муравей сядешь- пузо гофрэ сразу морда шарпея стоя- отлично плюс постоянный риск уляпаться причём никто кроме уляпывается… приличный девочка жрать садиться уляпываться мензурка кофе мочь пить полтора час засекать пирожёнка уметь рыться предельно уныло сразу видеть мука- кушать пироженко… борьба внутренний лёгкий флёр задумчивость вдаль пироженко вполне… пироженки…интересные…никогда ела… повезти просто ещё любить прийти твой страница коплиментик какой-нить написать ласково пожурить посоветовать рассказать хороший приличный девочка попало… ещё любить фраза « хороший пагибнуть чем… » далёкий угодный неприятный крайне начинать плохой кофе заканчивать некрасивый мужчина оно-то хороший спорить снова хотеться снизу челюсть страница их– просто кладезь мудрость случай жизнь обильно припорошить философия картинка цитата великий вполне понятно страница куда-то гость ходить…очень самодостаточный страничка общий целое приличный девочка ровно пора прекрасный пока пересекаться грубый плебейский неотшлифованный натурализм реальный мир происходить славбог часто б ещё комент ходить вилочка ковырнуть…специальный двузуба вилочка
2022-11-19,ненавидеть шопинг любой ненавидеть начинать очередь совка затоптать венгерский босоножка рынок картонка мерить что-то закрытый широкий спина продавщица 17го `` тю стесняцца '' заканчивать вполне цивильный киевский магазин трц нравиться ощутимый деньга прям настолько любить практически покупать интернет никто спрашивать `` что-то подсказать '' подсказать блд избегнуть переход `` говно '' `` хрен что-то ходить '' роддом подсунуть дочь- эстет страдать несовершенство мир второй год мочь выбрать осенний ботинок достойный просто деньга ботинок сюрреализм какой-то наступать слякоть отжимать лов мембранка носить вид словно душа плюнуть некрасивый 5 поход дрим поездка скай мол блд ботинок сегодня психануть переотжать лов говорить `` ходить тапочки лапоть сплести 23 год твоюматьнехать решить вопрос обувь твой возраст ... '' далёкий манный каша плевать послать дрим купить ботинок сидеть сыч говорить шотакий проблема решить акакж решить сезон закончиться зимний нужный мальчик рожать
2022-11-19,зоя казанжи по-іншом буде більша думать буде гірша післить війня і післить перемочь мена ров частиня коли читать прийдуть хлопці з фронт вонь швидкий наведуть лад `` хлопць і дівчат '' які прийдуть з війня точно буде щоб робить робот як мали і повинні зробить ми вонь прийдуть змучений травмований – фізичном і психологічный сенсі прийдуть тудить де всіха чекають чи дочекаються тудить де всі будинк вціліть тудить де всі друзі живі або місці тудить де немає роботить і відповідный грош ми що ми замість щоб чистити наші конюшні ми чекаємый « хлопціть і дівчат з фронт » чекаємый що вонь мають • розібратися з церква московії як ми боїмося чіпати бо збурить человек человек ніжні вонь можуть винести виніс московський попіть з лавр • запитать татарово заступник головить оп скілька він ще планує заробить біді і війні щоб назавждать покинутить і як микитася чиїм « дахома » подільник він був чи і є • з ’ ясуватить резніченка головить дніпропетровської ода як йома вдаться ощасливитя коханк – аж 2 мільярди гривеня і що він сказать президент що післить медійный скандал забрать йий свита і привіз визволение херсон • спитать прикордонної службить як брата суркіс вдаться вивезти кордон майж 20 мільйоніть доларіть і тілька суркіс як всі ті хлопить виїжджають і стають монакський « комбатант » • приїхатить запоріжської міськрасть і спитать як можный привласнить вагнать міжнародної гуманітарної допомочь і спокійный собі жить і керуватить далі • спитать єрмак як телеканал який ще отримать ліцензії вже ввійшов єдиния телемарафон як человек єрмак які змінить человек олігархіть державний підприємство і перейидти під контроль єрмак • спитать кирил тимошенка ще заступник оп чи вистачить йома 24 мільйоніть гривеня які отримал фірма йий родиня виробляючить контент єдин телемарафон • спитать олександр ткаченка міністр культурить що з музейний цінность які пропонувать іноземні партнерь вивезти війной що з земля під довженко-центр • спитать шмигаль переть ’ єр-міністр країнить як воює навіщый « націоналізувать » розбиті підприємство повідомить що « потім їх повернуть » післить як коломойський і компанії полагодять що росіянуть розрушить і знищить • спитать фонд держмайн як вонь змочь – продать спиртзаводить 3 мільйонить доларіть кожний практично коштувалить будинк під києвый війня як мочь спалить концепціть створенний біопаливної компанії базі спиртзаводіть чи покупціть цікавиль виключный ліцензії мозить ще написати сотня питаня « велик будівництво » « ремонт і реконструкціть доріг » відсутність стратегічний запасіть початок війня відсутність зимової військової формить як волонтери кричать з травень але дякуватить партнёр – привезти з усьий світ корупціть і заробіткать человек владі як продовжують призначать членіть опзж і далі свіжий приклад – радникнуть янушевич головить херсонської ода який був радник сальдо пока « хлопці і дівчат '' воюють – ми маємый воюватить бо оце виплив і далі буде керуватить сумнівайтести і ще всі почують – « ми тудить посилали » і забудуть згорьований і одинокий старих батькіть і дітея чиї тат і мами повернуться і загиблихо і живих бо коли буде знистить зовнішньий ворог мож виявититься що внутрішніть вкорінився і розрістись назавждать
2022-11-19,немножко завидовать человек универсальный специалист как-то резко высококвалифицированный вирусолог стать спец баллистика международный отношение военный хирургия невозможно найти сходу толковый специалист унитаз абсолютно изучать траектория полёт ракета польша учёт роза ветер вращение земля обратный полёт сторона завидовать сидеть дуб дерево твёрдый искать официальный вывод время аккаунт пучок хризантема аватарка выяснить нести новый знание масса апломб причём совершенно невыносимый хрен нате фото бросить кошечка оболонь неспециально подсунуть передержка подруга кошечка звать маруся насовсем жить харьковский набрать 200 грамм чувствовать прекрасно
2022-11-19,смешно ещё переименовывать мелитополь `` неоченьтохотеться '' мариуполь `` нумыстараться '' донецк `` почтиполучиться '' крым `` родный убегавань ''
2022-11-18,совершенно мочь приспособиться `` график '' неработающий магазин сидеть поджидать дать свет идти соседний дом аналогичный адрес весёлый охранник говорить тю прийидти ... тіки-но відключить заходь сіпьпо працює завждать магазин дверь нараспашку холодно капец темнота сновать тушка работник похожий пингвин атб закрытый сильпо давать сопровождение охранник фонарик водить шопинг спиздить темнота вход очередь запускать ток орешек купить проситься очередь большой молодой мужик ставать хвіст бо погриза мена щелеп новый строго приказывать амбал маленький тщедушный бабулька амбал покорно чапаета `` хвіст '' весёлый женщина околополтосный возраст предлагать пройти внутрь женщина охрана хлопчик почекать буде romantic біль м'ясный відділ треба буть надушитися вдягаться красива ніц видно дождаться мальчик идти гулять помогать выбрать наощупь огурец провожать касса кадить `` дяковать '' він весело відповідає щоб ці падли всі повиздихать никто объяснять падло речь характерный общий волноваться молчать настроение просто ноябрь самый отвратительный месяц год
2022-11-17,приймаю пенсіть руський ні москалі цей народ можный вбить але перемоготь
2022-11-17,настроение что-то писать никакой поэтому время почитать броситься глаз обилие подобный комент сям дать страна уголь мелкий дохуй очевидный фон военный неудача кацапстан начать очередной виток раздувание внутренний украинский срач претензия рука миллион безликий хуйня имя `` оля олечка '' `` свет украиночка '' порохобот зелебобик сраться как-то очень локально большой миллионный одесса регулярно слышать проблема одесса киев москва схема донецк `` кормить страна '' метод менять работать шикарный повод блэкаут далі буде нарастать
